store_id,brand,comune,provincia,lat,lon
S01,MARKET INGROSS,Canicattì,AG,37.3628912,13.8600864
S02,MARKET INGROSS,Castelvetrano,TP,37.6702076,12.8180274
S03,MARKET INGROSS,Agrigento,AG,37.3324332,13.5952193
S04,MARKET INGROSS,Vittoria,RG,36.9597629,14.5538032
S05,MARKET INGROSS,Ragusa,RG,36.9327037,14.6878557
S06,MARKET INGROSS,Gela,CL,37.0827446,14.2111326
S07,MARKET INGROSS,Ispica,RG,36.7849435,14.9216634
S08,MARKET INGROSS,Rosolini,SR,36.8250542,14.9650697
SD01,SIDIS,Licata,AG,37.11304,13.9279035
SD02,SIDIS,Sciacca,AG,37.5078691,13.0653915
PP01,PAGHI POCO,Licata,AG,37.1184559,13.9069215
PP02,PAGHI POCO,Licata,AG,37.1083897,13.9506304
PP03,PAGHI POCO,Canicattì,AG,37.353672,13.851077
PP04,PAGHI POCO,Ribera,AG,37.4892236,13.2625126
PP05,PAGHI POCO,Sciacca,AG,37.5104476,13.1014394
PP06,PAGHI POCO,Sciacca,AG,37.5143663,13.0750593
PP07,PAGHI POCO,Agrigento,AG,37.3198786,13.581076
PP08,PAGHI POCO,Gela,CL,37.083,14.2113
PP09,PAGHI POCO,Gela,CL,37.0742,14.2324
PP10,PAGHI POCO,Gela,CL,37.0785,14.2255
PP11,PAGHI POCO,Comiso,RG,36.9593963,14.6065902
PP12,PAGHI POCO,Siracusa,SR,37.0835855,15.2579754
PP13,PAGHI POCO,Castelvetrano,TP,37.67957,12.79492
PP14,PAGHI POCO,Mazara del Vallo,TP,37.6438414,12.6159586
