brand,name,city,lat,lon,shop,osm_id,type,key
MD,MD,,37.5760233,14.9095639,supermarket,617893676,node,MD|
MD,MD,,37.5653746,14.9155842,supermarket,619548575,node,MD|
MD,MD,,38.2513159,15.5920093,supermarket,1890286901,node,MD|
MD,MD,,37.6003922,15.0657999,supermarket,2187817505,node,MD|
MD,MD,,37.4824871,15.0560354,supermarket,4362811397,node,MD|
MD,MD,,38.1196795,13.3395558,supermarket,4667797589,node,MD|
MD,MD,,37.7397098,15.1864944,supermarket,5036865047,node,MD|
MD,MD,,38.0172452,12.522625,supermarket,5178053521,node,MD|
MD,MD,,38.1553181,15.2124626,supermarket,5242351854,node,MD|
MD,Supermercato MD,,37.9306164,15.3543669,supermarket,5475560322,node,SUPERMERCATO MD|
MD,MD,,37.3291768,13.6618099,supermarket,5567581380,node,MD|
MD,MD,,38.1525021,14.8247504,supermarket,5574625366,node,MD|
MD,MD,,38.0304097,14.0005819,supermarket,5706260921,node,MD|
MD,MD,,38.2111108,15.3490377,supermarket,6351774601,node,MD|
MD,Supermercato MD,,37.9911787,13.2917566,supermarket,6854393230,node,SUPERMERCATO MD|
MD,MD,,37.5434087,15.0753826,supermarket,7093712262,node,MD|
MD,MD,,38.0765659,13.4511211,supermarket,8118555491,node,MD|
MD,MD,,37.2225152,15.2190755,supermarket,8260819221,node,MD|
MD,MD,,37.5195848,15.096918,supermarket,8267435578,node,MD|
MD,MD,,37.5853503,15.0495462,supermarket,8441847704,node,MD|
MD,MD,,37.8029066,15.1744201,supermarket,9041541668,node,MD|
MD,MD,,37.6035088,15.1295844,supermarket,9190632117,node,MD|
MD,MD,,37.5403005,14.9590176,supermarket,9318611787,node,MD|
MD,MD,,38.0500209,13.1188251,supermarket,9916788529,node,MD|
MD,MD,,38.1940088,15.5521363,supermarket,10209743230,node,MD|
MD,MD,,37.5605139,14.9039707,supermarket,10285368429,node,MD|
MD,MD,,37.6438839,14.3950577,supermarket,10731396436,node,MD|
MD,MD,,37.7943056,14.8272434,supermarket,10796030143,node,MD|
MD,MD,,38.2084946,15.2525837,supermarket,10833594404,node,MD|
MD,MD,,37.497661,14.0450656,supermarket,11010693161,node,MD|
MD,Supermercato MD,,37.6559503,14.5110664,supermarket,11012237114,node,SUPERMERCATO MD|
MD,Supermercato MD,,37.3363589,13.5954308,supermarket,11156013310,node,SUPERMERCATO MD|
MD,MD,,37.7197859,15.1896138,supermarket,11168180443,node,MD|
MD,MD,,37.6282104,15.1312342,supermarket,11172880227,node,MD|
MD,MD,,37.5976911,14.9824856,supermarket,11851517270,node,MD|
MD,MD,,37.6074587,14.9858719,supermarket,11874810279,node,MD|
MD,MD,,36.7827277,14.5622975,supermarket,12029688443,node,MD|
MD,MD,,38.0160878,12.8918902,supermarket,12043795469,node,MD|
MD,MD,,37.6535518,14.637219,supermarket,12212217804,node,MD|
MD,MD,,37.5894769,14.978119,supermarket,12228168168,node,MD|
MD,MD,,37.5414776,15.1058739,supermarket,12230135092,node,MD|
MD,MD,,38.1500048,15.5284,supermarket,12492339829,node,MD|
MD,MD,Palermo,38.133236,13.3249854,supermarket,13291970288,node,MD|PALERMO
MD,MD,,37.6612501,14.8422317,supermarket,80324941,way,MD|
MD,MD,,38.1725961,13.3131128,supermarket,280092072,way,MD|
MD,MD,,37.3281939,13.4337519,supermarket,308302566,way,MD|
MD,MD,,37.2673637,15.2151463,supermarket,511123284,way,MD|
MD,MD,,37.6851491,15.1133607,supermarket,618411076,way,MD|
MD,MD,,37.3290777,14.450183,supermarket,724010320,way,MD|
MD,MD,,37.0917907,15.2640103,supermarket,750572487,way,MD|
MD,MD,,37.4886054,15.0819813,supermarket,824946115,way,MD|
MD,MD,,37.6109286,15.0094166,supermarket,843762240,way,MD|
MD,MD,,38.0842134,13.4470798,supermarket,863379369,way,MD|
MD,MD,,37.1711095,15.0469077,supermarket,888703741,way,MD|
MD,MD,,37.626972,14.3977627,supermarket,891444968,way,MD|
MD,MD,,37.8773264,14.9657111,supermarket,1033250891,way,MD|
MD,MD,,37.2925522,14.8504371,supermarket,1060087251,way,MD|
MD,MD,,37.1895413,13.7496865,supermarket,1111788413,way,MD|
MD,MD,,37.5011662,15.0631517,supermarket,1155926710,way,MD|
MD,MD,,37.5715412,15.1083174,supermarket,1209548902,way,MD|
MD,MD,,37.2172793,14.5228483,supermarket,1209779539,way,MD|
MD,MD,,37.1467852,14.3880287,supermarket,1212734816,way,MD|
MD,MD,,37.6149733,15.0517581,supermarket,1241219891,way,MD|
MD,MD,,37.5781445,14.8988697,supermarket,1314500504,way,MD|
MD,MD,,37.5311973,15.1074518,supermarket,1321659777,way,MD|
MD,MD,,37.819361,15.2426196,supermarket,1321659783,way,MD|
MD,MD,,36.7311388,14.8361377,supermarket,1323239741,way,MD|
MD,MD,,36.9541893,14.6133253,supermarket,1323455874,way,MD|
